,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price  (₹),Website,Ram - b,Processor Type - b,Price Category - b
513,Lenovo,Lenovo Legion 5 Ryzen 5 Hexa Core 4600H ,8GB,1TB HDD + 256GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Hard Disk Drive & Solid State Drive,60990,Flipkart.com,1,1,2
514,Lenovo,Lenovo IdeaPad 3 Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,Budget Laptop,Intel,Solid State Drive,48490,Flipkart.com,1,0,1
515,Lenovo,Lenovo IdeaPad Core i3 10th Gen ,4GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,31490,Flipkart.com,0,0,1
516,Lenovo,Lenovo Ideapad S145 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,36490,Flipkart.com,1,0,1
517,Lenovo,Lenovo Core i3 10th Gen ,4GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,32990,Flipkart.com,0,0,1
518,Lenovo,Lenovo IdeaPad Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64990,Flipkart.com,2,0,2
519,Lenovo,Lenovo Core i3 11th Gen ,4GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,33990,Flipkart.com,0,0,1
520,Lenovo,Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,61990,Flipkart.com,1,1,2
521,Lenovo,Lenovo IdeaPad Flex 5 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,58990,Flipkart.com,1,0,2
522,Lenovo,Lenovo APU Dual Core A9 A99425 ,4GB,1TB HDD,AMD APU Dual Core A9,Budget Laptop,AMD,Hard Disk Drive,26990,Flipkart.com,0,1,1
523,Lenovo,Lenovo Thinkpad Ryzen 5 Hexa Core 5600U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,56990,Flipkart.com,1,1,2
524,Lenovo,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,50990,Flipkart.com,1,1,2
525,Lenovo,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen ,8GB,256GB SSD,Intel Core i5,Budget Laptop,Intel,Solid State Drive,49990,Flipkart.com,1,0,1
526,Lenovo,Lenovo Core i3 10th Gen ,8GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,32990,Flipkart.com,1,0,1
527,Lenovo,Lenovo ThinkBook 13s Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,54990,Flipkart.com,1,0,2
528,Lenovo,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,69990,Flipkart.com,1,1,2
529,Lenovo,Lenovo Ideapad Flex 5 Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,57200,Flipkart.com,1,0,2
530,Lenovo,Lenovo Legion 5 Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,66490,Flipkart.com,1,0,2
531,Lenovo,Lenovo IdeaPad 3 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,44490,Flipkart.com,1,0,1
532,Lenovo,Lenovo Ideapad Slim 5i Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,70990,Flipkart.com,2,0,0
533,Lenovo,Lenovo Legion 5 Ryzen 7 Octa Core 5800H ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,130990,Flipkart.com,2,1,0
534,Lenovo,Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,43990,Flipkart.com,1,0,1
535,Lenovo,Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 4700U ,8GB,512GB SSD,AMD Ryzen 7,Mid Range Laptop,AMD,Solid State Drive,58990,Flipkart.com,1,1,2
536,Lenovo,Lenovo IdeaPad 3 Celeron Dual Core ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,30799,Flipkart.com,0,0,1
537,Lenovo,Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,62990,Flipkart.com,1,1,2
538,Lenovo,Lenovo IdeaPad 5 Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64990,Flipkart.com,2,0,2
539,Lenovo,Lenovo Legion 5 Core i7 11th Gen ,16GB,512GB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,94990,Flipkart.com,2,0,0
540,Lenovo,Lenovo ThinkPad E15 Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,63990,Flipkart.com,1,0,2
541,Lenovo,Lenovo IdeaPad 5 Pro Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,67990,Flipkart.com,2,0,2
542,Lenovo,Lenovo Legion 5 Pro Core i7 11th Gen ,16GB,1TB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,157990,Flipkart.com,2,0,0
543,Lenovo,Lenovo Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,77990,Flipkart.com,2,0,0
544,Lenovo,Lenovo Ideapad Flex 5 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,56999,Flipkart.com,1,0,2
545,Lenovo,Lenovo ThinkPad E15 Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,67990,Flipkart.com,1,0,2
