,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price (₹),Website
72,Lenovo,Lenovo Core i7 9th Gen ,16GB,1TB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,229900,FLIPKART
73,Lenovo,Lenovo ThinkPad E15 Core i3 11th Gen ,4GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,44990,FLIPKART
74,Lenovo,Lenovo IdeaPad 3 15IML05 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,32990,FLIPKART
75,Lenovo,Lenovo IdeaPad 5 Pro Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,72990,FLIPKART
76,Lenovo,Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U ,16GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,75990,FLIPKART
77,Lenovo,Lenovo IdeaPad Flex 5 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,58990,FLIPKART
78,Lenovo,Lenovo Yoga Slim 7 Intel EVO Core i7 11th Gen ,16GB,1TB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,102990,FLIPKART
79,Lenovo,Lenovo IdeaPad Gaming 3 Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,65990,FLIPKART
80,Lenovo,Lenovo Yoga Slim 7 Intel EVO Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,87990,FLIPKART
81,Lenovo,Lenovo IdeaPad 3 Chromebook Celeron Dual Core ,4GB,1TB HDD + 256GB SSD,Intel Celeron,Budget Laptop,Intel,Hard Disk Drive & Solid State Drive,19990,FLIPKART
82,Lenovo,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,57990,FLIPKART
83,Lenovo,Lenovo Yoga Slim 7 Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,74990,FLIPKART
84,Lenovo,Lenovo IdeaPad 3 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,36999,FLIPKART
85,Lenovo,Lenovo Ideapad Slim 3i Core i5 11th Gen ,8GB,256GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,54699,FLIPKART
86,Lenovo,Lenovo Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,142990,FLIPKART
87,Lenovo,Lenovo Legion Core i5 9th Gen ,8GB,1TB HDD + 256GB SSD,Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,65990,FLIPKART
88,Lenovo,Lenovo Yoga 6 Ryzen 7 Octa Core 5700U ,16GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,80990,FLIPKART
89,Lenovo,Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 5700U ,8GB,512GB SSD,AMD Ryzen 7,Mid Range Laptop,AMD,Solid State Drive,63990,FLIPKART
90,Lenovo,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 5600H ,16GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,77490,FLIPKART
91,Lenovo,Lenovo Legion 5 Ryzen 5 Hexa Core 5600H ,8GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,74999,FLIPKART
92,Lenovo,Lenovo IdeaPad Gaming Core i7 10th Gen ,8GB,512GB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,75990,FLIPKART
93,HP,HP Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,38490,FLIPKART
94,HP,HP HP Pavilion Ryzen 5 Hexa Core 4600H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,60950,FLIPKART
95,HP,HP Ryzen 3 Dual Core 3250U ,8GB,256GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,35990,FLIPKART
96,HP,HP Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,48990,FLIPKART
97,HP,HP Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,36490,FLIPKART
98,HP,HP Ryzen 7 Octa Core 5700U ,8GB,512GB SSD,AMD Ryzen 7,Mid Range Laptop,AMD,Solid State Drive,56990,FLIPKART
99,HP,HP Notebook PC Core i3 11th Gen ,8GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,36990,FLIPKART
100,HP,HP Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,39990,FLIPKART
101,HP,HP Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,41397,FLIPKART
102,HP,HP 15s Ryzen 3 Dual Core 3250U ,8GB,1TB HDD + 256GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Hard Disk Drive & Solid State Drive,38999,FLIPKART
103,HP,HP Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,42990,FLIPKART
104,HP,HP Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,39990,FLIPKART
105,HP,HP Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,53990,FLIPKART
106,HP,HP Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,47490,FLIPKART
107,HP,HP Pavilion x360 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,53990,FLIPKART
108,HP,HP Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,50990,FLIPKART
109,HP,HP Ryzen 5 Octa Core 3500u ,8GB,1TB HDD,AMD Ryzen 5,Budget Laptop,AMD,Hard Disk Drive,39980,FLIPKART
110,HP,HP Pavilion Ryzen 5 Hexa Core 5600H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,59990,FLIPKART
111,HP,HP Pavilion Aero Ryzen 5 Hexa Core 5600U ,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,64490,FLIPKART
112,HP,HP Pavilion Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,53990,FLIPKART
113,HP,HP Laptop 255 G8 Notebook Ryzen 3 Dual Core AMD Ryzen 3,8GB,1TB HDD,AMD Ryzen 3,Budget Laptop,AMD,Hard Disk Drive,29790,FLIPKART
114,HP,HP Ryzen 3 Quad Core 5300U ,8GB,512GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,38490,FLIPKART
115,HP,HP Pavilion Ryzen 7 Octa Core 5825U ,16GB,512GB SSD,AMD Ryzen 7,Mid Range Laptop,AMD,Solid State Drive,69999,FLIPKART
116,HP,HP Pentium Quad Core ,8GB,256GB SSD,Intel Pentium,Budget Laptop,Intel,Solid State Drive,32490,FLIPKART
117,HP,HP Ryzen 3 Quad Core 5300U ,8GB,512GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,38990,FLIPKART
118,HP,HP Pavilion Ryzen 5 Hexa Core 5625U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,52999,FLIPKART
119,HP,HP Pavilion Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,60990,FLIPKART
120,HP,HP Celeron Dual Core ,8GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,30990,FLIPKART
121,HP,HP Pavilion Ryzen 5 Hexa Core 5500U ,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,59990,FLIPKART
122,HP,HP Pavilion Gaming Ryzen 5 Hexa Core 5600H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,59990,FLIPKART
123,HP,HP Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,41990,FLIPKART
124,HP,HP Pavilion x360 Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,50990,FLIPKART
125,HP,HP Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,52990,FLIPKART
126,HP,HP Pavilion Gaming Core i5 11th Gen ,8GB,1TB HDD + 256GB SSD,Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,66990,FLIPKART
127,HP,HP Ryzen 3 Dual Core ,8GB,1TB HDD,AMD Ryzen 3,Budget Laptop,AMD,Hard Disk Drive,29790,FLIPKART
128,HP,HP Pavilion Ryzen 5 Hexa Core 5600H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,61490,FLIPKART
129,HP,HP Pavilion x360 Convertible Core i7 11th Gen ,16GB,512GB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,85190,FLIPKART
130,HP,HP Ryzen 3 Hexa Core 4th Gen ,8GB,512GB SSD,AMD Ryzen 3,Mid Range Laptop,AMD,Solid State Drive,63590,FLIPKART
131,HP,HP Pavilion Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,62990,FLIPKART
132,HP,HP Core i5 12th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,57390,FLIPKART
133,HP,HP 15s Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,41450,FLIPKART
134,HP,HP Pavilion Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,65990,FLIPKART
135,HP,HP Pavilion Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,54999,FLIPKART
136,HP,HP Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,39990,FLIPKART
137,HP,HP Pavilion Gaming Ryzen 7 Octa Core 4800H ,16GB,1TB HDD + 256GB SSD,AMD Ryzen 7,High End Laptop,AMD,Hard Disk Drive & Solid State Drive,78990,FLIPKART
138,HP,HP Pavilion Ryzen 5 Hexa Core 5625U ,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,59999,FLIPKART
139,HP,HP Pavilion x360 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,47890,FLIPKART
140,HP,HP Ryzen 5 Quad Core 3500U 3rd Gen ,8GB,1TB HDD,AMD Ryzen 5,Budget Laptop,AMD,Hard Disk Drive,37290,FLIPKART
141,HP,HP OMEN 15 Ryzen 7 Octa Core 5800H ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,158490,FLIPKART
142,HP,HP Pavilion x360 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,47890,FLIPKART
143,HP,HP 15s Core i5 11th Gen ,8GB,1TB HDD,Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive,56490,FLIPKART
144,HP,HP Core i5 12th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,58990,FLIPKART
145,HP,HP Core i3 10th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,42990,FLIPKART
146,HP,HP HP Pavilion Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,71990,FLIPKART
147,HP,HP 15s Core i3 11th Gen ,8GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,43490,FLIPKART
148,HP,HP 15 Core i3 6th Gen ,4GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,34881,FLIPKART
149,HP,HP Ryzen 3 Dual Core ,8GB,512GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,39000,FLIPKART
150,HP,HP 14s Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,42490,FLIPKART
151,HP,HP Pavilion Core i5 12th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64900,FLIPKART
152,HP,HP 14s Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,42290,FLIPKART
